Teacher Name,Teacher Rating (Avg),Teacher Rating (STD),Teacher Helpfulness (Avg),Teacher Helpfulness (STD),Number of Ratings,Number of Classes
Haruhiko Asada,5.9654945054945046,0.4019410698052435,5.867912087912087,0.4270818859731818,455.0,26
Kamal Youcef-Toumi,5.070095238095238,1.2140451825263427,5.002285714285715,1.2773314870820167,525.0,24
Kentaro Barhydt,6.1,0.0,6.3,0.0,8.0,1
Ravi Tejwani,6.3,0.0,6.0,0.0,11.0,1
Joseph M. Ntaimo,6.5,0.0,6.2,0.0,11.0,1
Hsinyung Harrison Chin,6.366803278688525,0.2678678199243031,6.341803278688525,0.3350247109231512,732.0,37
David L. Trumper,6.366058394160583,0.40640107776208007,6.245498783454988,0.5536852267222694,822.0,49
Adam Kyoungmin Kim,6.8,0.0,6.9,0.0,9.0,1
Charles Byron Seaberg,6.890000000000001,0.099498743710662,6.845000000000001,0.0497493718553312,20.0,2
Domitilla Del Vecchio,5.703728813559321,0.5057831594903257,5.694576271186442,0.5520111827468911,295.0,21
Nicholas Nolan,7.0,0.0,6.7,0.0,1.0,1
Yuming Liu,5.591489361702128,0.1976777812653095,5.802127659574468,0.2572269150588496,47.0,4
Ethan M. Pickering,6.1,0.0,5.5,0.0,11.0,1
Declan Benedict Gaylo,5.220588235294118,0.6663241623064232,5.65,0.4760437449004276,34.0,3
Paul D. Sclavounos,6.171767810026387,0.7843588302453531,6.080738786279683,0.8752374621465314,379.0,43
Alexander Joseph Wunderlich,6.3,0.0,6.5,0.0,3.0,1
Triantaphyllos R. Akylas,6.34375,0.4232794383791224,6.255113636363638,0.48444789174280645,352.0,32
Betar Maurkah Gallant,6.587349397590361,0.2605997916639606,6.570783132530121,0.288466011369604,332.0,17
Aaron Max Melemed,6.9,0.0,7.0,0.0,15.0,2
Gang Chen,5.039393939393939,1.0033849963360826,4.937878787878788,1.2383719947692753,132.0,10
Kyle Joseph Buznitsky,6.254545454545454,0.0497929597731967,6.090909090909091,0.0995859195463939,11.0,2
Wai K. Cheng,5.524766355140185,0.7917174585640553,5.299999999999999,1.0426870391839749,214.0,23
Ahmed F. Ghoniem,5.499183673469388,0.7496389246060164,5.569387755102042,0.6301940360836243,245.0,21
Aniket Sanjay Patankar,5.941666666666666,0.464503916979059,6.125,0.4303583777891784,36.0,5
Martin Culpepper,6.211030741410489,0.4854905844133965,5.870705244122967,0.7026498861353796,553.0,38
Laura M. Rosado,6.5,0.0,6.5,0.0,2.0,1
Jesse Paul De Alva,6.5,0.0,6.5,0.0,2.0,1
Charles Michael Wheeler,6.330769230769231,0.192891421768092,6.403076923076924,0.3976737088345477,65.0,6
Daniel Patrick Gilbert,6.433035714285714,0.5994623175421966,6.3044642857142845,0.5036276247772513,112.0,11
Alexander H. Slocum,5.865441176470589,0.5880712087322355,5.6873161764705875,0.6666455778770514,544.0,32
